CheckInDate,CheckOutDate,State,City,RoomType,BookingChannel,OccupancyRate,RevenuePerBed,CustomerAcquisitionCost,FeedbackRating
2024-11-03,2024-11-06,Tamil Nadu,Ooty,Dorm,OTA,0.79,1065.86,95.46,2
2024-12-24,2024-12-29,Himachal Pradesh,Manali,Dorm,Website,0.85,517.22,151.61,5
2025-03-29,2025-04-01,Rajasthan,Jaipur,Dorm,OTA,0.84,922.61,126.55,5
2024-12-21,2024-12-25,Uttarakhand,Dehradun,Private,OTA,0.57,526.26,80.16,2
2025-02-10,2025-02-14,Goa,Panaji,Private,Walk-in,0.65,830.63,240.05,5
2024-12-06,2024-12-07,Karnataka,Mysore,Suite,Walk-in,0.75,413.92,61.38,1
2025-03-21,2025-03-22,Tamil Nadu,Chennai,Suite,OTA,0.85,722.46,160.12,2
2024-10-24,2024-10-28,Maharashtra,Pune,Dorm,Walk-in,0.63,866.5,63.4,2
2025-03-06,2025-03-11,Kerala,Kochi,Private,OTA,0.67,1117.65,124.34,5
2025-01-13,2025-01-15,Maharashtra,Mumbai,Private,Walk-in,,373.07,109.97,5
2025-01-28,2025-01-30,Himachal Pradesh,Manali,Private,Walk-in,0.52,554.45,264.9,1
2024-11-09,2024-11-10,Goa,Vasco,Suite,Website,0.82,882.87,277.1,2
2025-04-13,2025-04-14,Himachal Pradesh,Shimla,Private,Walk-in,0.9,573.68,150.63,3
2024-12-28,2025-01-02,Kerala,Munnar,Private,Website,0.69,382.19,290.48,5
2024-10-31,2024-11-04,Rajasthan,Jaipur,Suite,Walk-in,0.85,698.01,119.54,5
2025-01-31,2025-02-03,Kerala,Munnar,Suite,Website,0.75,1071.96,132.45,4
2024-12-11,2024-12-14,Tamil Nadu,Chennai,Private,OTA,,404.33,243.14,5
2025-03-26,2025-03-31,Rajasthan,Jaipur,Private,Walk-in,0.75,980.8,206.35,1
2025-02-15,2025-02-16,Tamil Nadu,Chennai,Suite,Walk-in,0.93,1019.38,227.45,3
2025-02-13,2025-02-14,Maharashtra,Pune,Suite,Website,0.69,748.54,229.15,5
2025-04-05,2025-04-09,Tamil Nadu,Chennai,Dorm,Walk-in,0.93,757.42,269.83,1
2025-04-01,2025-04-04,Himachal Pradesh,Manali,Suite,OTA,0.31,1053.73,194.98,4
2024-12-25,2024-12-28,Kerala,Munnar,Dorm,Walk-in,0.82,514.92,145.74,4
2025-02-05,2025-02-09,Kerala,Kochi,Dorm,Website,0.71,752.06,197.55,1
2024-11-22,2024-11-24,Karnataka,Mysore,Dorm,OTA,0.66,1003.37,116.26,5
2025-03-01,2025-03-05,Kerala,Munnar,Suite,Website,0.71,855.71,108.69,3
2024-10-29,2024-10-31,Maharashtra,Pune,Suite,OTA,0.4,1113.08,61.5,1
2024-10-24,2024-10-26,Karnataka,Bangalore,Dorm,Walk-in,0.67,1083.76,204.93,2
2025-02-21,2025-02-22,Tamil Nadu,Ooty,Private,OTA,0.75,909.85,89.49,4
2024-11-29,2024-12-02,Himachal Pradesh,Shimla,Dorm,OTA,0.92,1068.0,76.66,4
2025-03-15,2025-03-16,Kerala,Munnar,Suite,Walk-in,0.62,1000.48,293.4,5
2024-12-11,2024-12-13,Goa,Vasco,Suite,Website,0.58,858.8,219.44,2
2024-10-31,2024-11-05,Tamil Nadu,Chennai,Private,Walk-in,0.62,418.27,277.41,3
2025-03-31,2025-04-02,Uttarakhand,Dehradun,Private,OTA,0.84,1170.65,123.79,3
2024-11-30,2024-12-05,Goa,Vasco,Private,Website,0.75,1011.61,53.48,5
2025-04-02,2025-04-03,Kerala,Munnar,Suite,Website,0.62,724.33,204.89,5
2024-11-04,2024-11-08,Tamil Nadu,Ooty,Dorm,Website,0.78,340.81,59.3,4
2024-12-28,2025-01-02,Uttarakhand,Dehradun,Suite,Walk-in,0.71,439.07,153.72,1
2024-12-08,2024-12-12,Uttarakhand,Rishikesh,Private,Website,0.85,1069.91,74.84,3
2025-01-12,2025-01-16,Goa,Panaji,Dorm,Walk-in,0.59,490.9,209.87,1
2025-02-16,2025-02-21,Goa,Panaji,Dorm,Walk-in,0.65,494.36,267.42,3
2025-03-26,2025-03-31,Karnataka,Bangalore,Private,Website,0.64,,266.61,2
2024-12-25,2024-12-26,Karnataka,Mysore,Dorm,Walk-in,0.48,678.86,78.41,1
2024-11-16,2024-11-21,Goa,Panaji,Private,OTA,0.74,879.01,57.79,4
2024-12-26,2024-12-27,Tamil Nadu,Chennai,Private,Walk-in,0.74,433.5,81.55,5
2024-12-23,2024-12-28,Himachal Pradesh,Shimla,Suite,OTA,0.7,389.26,225.44,5
2024-11-25,2024-11-29,Uttarakhand,Dehradun,Private,Walk-in,0.66,385.58,156.69,3
2025-02-23,2025-02-27,Maharashtra,Mumbai,Dorm,Walk-in,0.49,964.92,252.94,5
2024-12-06,2024-12-10,Kerala,Munnar,Suite,Website,0.64,1171.56,200.1,3
2025-03-01,2025-03-06,Maharashtra,Pune,Private,Website,0.65,986.35,193.53,4
2025-04-15,2025-04-18,Rajasthan,Jaisalmer,Dorm,Website,0.58,545.94,240.6,3
2025-02-25,2025-02-26,Maharashtra,Mumbai,Dorm,Walk-in,0.68,777.43,144.05,4
2025-02-18,2025-02-20,Maharashtra,Mumbai,Dorm,Walk-in,0.76,344.79,70.4,4
2024-10-29,2024-11-02,Maharashtra,Pune,Dorm,OTA,0.98,910.4,198.28,5
2025-02-11,2025-02-14,Rajasthan,Jaipur,Dorm,Website,0.73,,122.36,1
2025-02-16,2025-02-17,Goa,Vasco,Private,Walk-in,0.74,338.07,54.69,1
2024-11-18,2024-11-19,Kerala,Munnar,Private,Website,0.69,1169.58,92.97,5
2025-01-27,2025-01-31,Maharashtra,Mumbai,Suite,OTA,0.41,771.57,148.94,3
2025-03-06,2025-03-11,Maharashtra,Nashik,Dorm,OTA,0.7,615.99,289.56,2
2024-12-02,2024-12-06,Maharashtra,Mumbai,Private,Walk-in,0.71,983.89,162.23,5
2024-11-16,2024-11-20,Uttarakhand,Rishikesh,Dorm,OTA,1.0,697.99,125.71,3
2025-01-13,2025-01-16,Rajasthan,Jaipur,Private,Website,0.67,880.2,294.34,1
2024-12-28,2025-01-02,Rajasthan,Udaipur,Suite,Website,0.75,589.37,168.91,2
2024-12-07,2024-12-09,Maharashtra,Nashik,Dorm,Website,0.69,936.86,297.75,5
2025-04-13,2025-04-18,Kerala,Munnar,Dorm,Walk-in,0.52,882.57,66.48,1
2025-02-17,2025-02-18,Karnataka,Mysore,Suite,Walk-in,0.87,427.29,137.46,4
2025-02-26,2025-03-03,Uttarakhand,Rishikesh,Dorm,Walk-in,0.81,903.41,177.12,1
2025-02-01,2025-02-03,Tamil Nadu,Chennai,Dorm,Website,0.82,369.45,261.11,1
2024-11-27,2024-12-02,Uttarakhand,Rishikesh,Private,Website,0.56,446.02,257.84,5
2025-02-25,2025-03-02,Goa,Vasco,Private,Walk-in,0.91,1005.42,108.5,2
2024-12-17,2024-12-21,Uttarakhand,Dehradun,Private,OTA,0.49,752.62,154.67,2
2025-03-28,2025-04-02,Tamil Nadu,Ooty,Dorm,Walk-in,0.79,1061.3,262.79,3
2025-03-14,2025-03-16,Kerala,Kochi,Private,OTA,1.0,1137.42,153.72,4
2025-03-15,2025-03-16,Rajasthan,Udaipur,Suite,Walk-in,0.55,601.76,86.51,1
2024-10-26,2024-10-31,Tamil Nadu,Ooty,Dorm,Website,0.62,317.1,103.91,2
2024-11-29,2024-12-02,Himachal Pradesh,Manali,Dorm,Website,0.71,514.6,209.74,5
2025-03-24,2025-03-29,Rajasthan,Jaisalmer,Suite,Website,0.62,946.69,122.82,1
2024-10-22,2024-10-25,Maharashtra,Nashik,Dorm,Walk-in,0.47,789.67,246.6,5
2025-03-21,2025-03-22,Uttarakhand,Dehradun,Private,Website,0.71,610.32,233.24,1
2024-12-16,2024-12-20,Uttarakhand,Rishikesh,Suite,OTA,0.54,868.56,252.87,1
2025-01-01,2025-01-04,Goa,Panaji,Private,Walk-in,0.77,658.4,253.85,4
2024-12-06,2024-12-09,Rajasthan,Jaisalmer,Private,Website,0.56,1019.41,159.24,4
2024-10-28,2024-10-31,Tamil Nadu,Ooty,Suite,OTA,0.93,1021.03,231.77,1
2024-11-25,2024-11-28,Maharashtra,Mumbai,Suite,OTA,0.58,575.85,200.66,4
2025-04-11,2025-04-14,Uttarakhand,Dehradun,Suite,Website,0.65,367.54,209.38,3
2025-02-03,2025-02-05,Tamil Nadu,Chennai,Dorm,Website,0.82,1000.66,141.58,4
2025-04-04,2025-04-08,Uttarakhand,Dehradun,Dorm,Walk-in,0.52,423.93,141.74,3
2025-03-04,2025-03-09,Tamil Nadu,Ooty,Dorm,OTA,0.73,997.47,226.01,2
2024-12-16,2024-12-17,Maharashtra,Mumbai,Private,Website,0.9,1108.81,161.28,1
2024-11-26,2024-12-01,Maharashtra,Nashik,Private,OTA,0.46,1066.23,227.95,2
2025-02-20,2025-02-24,Karnataka,Bangalore,Dorm,OTA,0.73,798.62,142.23,5
2025-01-20,2025-01-24,Tamil Nadu,Ooty,Suite,Website,0.74,412.79,129.26,1
2024-12-31,2025-01-04,Karnataka,Bangalore,Suite,Website,0.82,1048.25,179.53,3
2025-04-05,2025-04-08,Himachal Pradesh,Manali,Dorm,Walk-in,0.51,1160.72,118.61,3
2025-04-11,2025-04-16,Karnataka,Bangalore,Suite,Walk-in,0.5,603.86,280.98,1
2025-02-17,2025-02-22,Himachal Pradesh,Manali,Private,Walk-in,0.78,875.09,174.51,5
2025-01-13,2025-01-17,Kerala,Munnar,Dorm,Walk-in,0.74,353.92,159.9,4
2024-11-12,2024-11-16,Uttarakhand,Dehradun,Dorm,OTA,0.74,763.48,76.55,2
2024-12-06,2024-12-11,Himachal Pradesh,Shimla,Private,Website,0.75,1166.42,275.58,3
2024-11-12,2024-11-15,Tamil Nadu,Ooty,Private,Website,0.6,381.04,148.31,4
2024-12-02,2024-12-05,Tamil Nadu,Ooty,Suite,Website,0.73,1062.46,157.73,3
2025-03-09,2025-03-14,Goa,Vasco,Private,Website,0.74,647.71,162.59,5
2025-02-02,2025-02-05,Maharashtra,Pune,Private,Walk-in,0.59,1145.05,238.74,2
2025-01-28,2025-02-02,Uttarakhand,Dehradun,Private,Website,0.98,845.63,178.88,3
2024-12-06,2024-12-11,Himachal Pradesh,Shimla,Suite,Walk-in,0.77,740.86,190.73,4
2025-03-10,2025-03-15,Himachal Pradesh,Manali,Private,OTA,0.52,1170.36,245.73,5
2025-02-06,2025-02-08,Kerala,Kochi,Dorm,Walk-in,0.8,1153.38,77.47,1
2025-01-07,2025-01-09,Tamil Nadu,Chennai,Suite,Website,0.55,804.8,299.53,4
2025-04-08,2025-04-11,Uttarakhand,Dehradun,Suite,OTA,0.82,473.04,111.63,5
2025-02-06,2025-02-09,Goa,Vasco,Private,OTA,0.87,804.44,283.62,3
2025-01-01,2025-01-03,Kerala,Munnar,Private,Website,0.58,558.87,228.54,3
2024-12-25,2024-12-27,Himachal Pradesh,Shimla,Dorm,Walk-in,0.84,966.8,109.82,1
2024-11-27,2024-12-01,Kerala,Munnar,Dorm,Walk-in,0.76,993.69,51.3,5
2024-11-11,2024-11-13,Tamil Nadu,Ooty,Private,OTA,0.82,556.87,64.79,1
2025-01-22,2025-01-26,Rajasthan,Jaipur,Dorm,Website,0.98,1197.45,149.25,4
2025-01-19,2025-01-22,Rajasthan,Jaipur,Suite,Walk-in,0.66,396.57,295.75,3
2024-11-02,2024-11-05,Karnataka,Mysore,Dorm,Website,,597.62,232.78,3
2025-03-11,2025-03-16,Goa,Panaji,Suite,OTA,0.57,1044.29,178.82,1
2024-10-25,2024-10-28,Goa,Panaji,Private,Website,0.58,702.06,116.75,3
2025-04-01,2025-04-02,Goa,Panaji,Private,OTA,0.69,443.75,221.52,3
2024-11-06,2024-11-08,Goa,Panaji,Private,Website,0.75,709.48,297.21,3
2024-11-14,2024-11-19,Goa,Panaji,Dorm,Walk-in,0.74,702.07,225.94,1
2025-02-14,2025-02-16,Goa,Panaji,Private,Walk-in,0.82,697.66,220.07,5
2024-11-16,2024-11-20,Karnataka,Mysore,Suite,Website,0.7,802.92,218.19,3
2025-03-18,2025-03-22,Maharashtra,Mumbai,Private,Walk-in,0.92,357.38,298.53,1
2025-02-25,2025-02-28,Karnataka,Mysore,Private,OTA,0.66,1082.66,276.69,4
2025-01-05,2025-01-07,Uttarakhand,Rishikesh,Suite,OTA,1.0,775.96,231.96,2
2025-02-08,2025-02-10,Kerala,Munnar,Dorm,OTA,0.79,611.54,118.91,1
2024-10-28,2024-10-30,Rajasthan,Jaipur,Dorm,Website,0.57,834.55,161.61,1
2024-12-29,2025-01-03,Rajasthan,Jaipur,Private,Website,0.54,1034.21,232.88,3
2024-12-29,2025-01-02,Karnataka,Bangalore,Private,OTA,0.77,354.86,287.13,2
2025-02-08,2025-02-12,Kerala,Munnar,Private,Website,0.67,569.9,95.97,5
2025-01-14,2025-01-19,Tamil Nadu,Chennai,Private,OTA,0.81,801.56,83.52,2
2025-01-26,2025-01-31,Uttarakhand,Rishikesh,Suite,Website,0.77,346.38,144.29,5
2024-12-03,2024-12-05,Goa,Vasco,Private,OTA,0.69,1161.32,53.83,2
2025-01-31,2025-02-04,Goa,Panaji,Dorm,Walk-in,0.57,589.45,120.76,4
2025-04-01,2025-04-02,Tamil Nadu,Ooty,Suite,OTA,0.47,985.47,130.06,2
2024-10-18,2024-10-21,Karnataka,Bangalore,Suite,Walk-in,0.63,821.23,154.39,2
2025-02-25,2025-03-01,Uttarakhand,Dehradun,Suite,Walk-in,0.83,965.63,165.21,3
2025-03-04,2025-03-05,Rajasthan,Jaisalmer,Dorm,Walk-in,0.73,343.66,,2
2024-11-07,2024-11-08,Tamil Nadu,Ooty,Suite,Walk-in,,900.08,204.13,4
2025-02-25,2025-02-28,Rajasthan,Jaisalmer,Suite,OTA,0.73,315.43,253.29,4
2025-04-05,2025-04-07,Karnataka,Bangalore,Suite,Walk-in,0.76,527.18,138.61,4
2025-01-28,2025-01-29,Goa,Vasco,Suite,Walk-in,0.57,983.63,73.38,4
2025-03-10,2025-03-14,Maharashtra,Pune,Suite,OTA,0.72,809.27,264.49,1
2024-12-06,2024-12-07,Tamil Nadu,Ooty,Dorm,Walk-in,0.71,1133.03,274.83,5
2025-03-14,2025-03-18,Goa,Panaji,Dorm,OTA,0.53,446.21,110.12,4
2025-02-17,2025-02-20,Maharashtra,Nashik,Dorm,Website,0.75,693.38,259.67,3
2024-12-21,2024-12-24,Uttarakhand,Rishikesh,Private,OTA,0.78,505.32,188.26,4
2024-11-06,2024-11-07,Himachal Pradesh,Manali,Dorm,OTA,0.86,438.8,,2
2024-12-11,2024-12-14,Himachal Pradesh,Shimla,Private,Website,0.86,419.26,96.85,4
2025-01-08,2025-01-13,Maharashtra,Nashik,Private,OTA,0.49,311.11,153.45,1
2024-11-15,2024-11-17,Karnataka,Mysore,Dorm,OTA,0.56,571.02,173.28,1
2025-01-12,2025-01-14,Uttarakhand,Dehradun,Suite,Walk-in,0.78,746.22,204.17,4
2024-10-16,2024-10-20,Kerala,Munnar,Private,OTA,0.78,1033.93,264.88,5
2025-03-05,2025-03-09,Uttarakhand,Rishikesh,Private,OTA,0.78,961.39,208.23,5
2025-04-04,2025-04-09,Uttarakhand,Rishikesh,Dorm,Walk-in,1.0,,94.98,5
2025-03-04,2025-03-08,Himachal Pradesh,Manali,Suite,OTA,0.79,425.26,125.71,3
2024-12-06,2024-12-11,Tamil Nadu,Ooty,Suite,Walk-in,0.87,676.47,59.19,3
2025-01-21,2025-01-24,Maharashtra,Mumbai,Dorm,Walk-in,0.84,851.41,190.81,4
2025-03-12,2025-03-14,Maharashtra,Pune,Suite,Walk-in,0.8,766.92,195.13,5
2024-11-19,2024-11-20,Karnataka,Mysore,Private,Website,0.65,565.89,280.14,1
2025-01-22,2025-01-27,Tamil Nadu,Chennai,Private,OTA,0.81,728.55,159.54,4
2025-04-11,2025-04-13,Uttarakhand,Rishikesh,Suite,Website,0.58,764.39,187.98,3
2024-11-05,2024-11-09,Karnataka,Bangalore,Private,Website,0.66,963.65,270.77,4
2025-04-03,2025-04-04,Maharashtra,Nashik,Suite,Website,0.63,629.21,99.27,1
2025-02-14,2025-02-19,Kerala,Munnar,Dorm,OTA,0.71,616.79,164.47,2
2024-12-12,2024-12-14,Maharashtra,Nashik,Private,Website,1.0,514.72,79.24,3
2025-03-28,2025-03-30,Kerala,Munnar,Private,Walk-in,0.42,783.64,279.79,2
2025-02-17,2025-02-20,Tamil Nadu,Chennai,Dorm,OTA,0.8,422.88,253.8,5
2025-01-22,2025-01-24,Tamil Nadu,Ooty,Dorm,Walk-in,0.46,327.77,240.26,3
2025-02-11,2025-02-16,Tamil Nadu,Chennai,Dorm,OTA,0.63,997.6,255.82,3
2024-11-23,2024-11-24,Goa,Vasco,Suite,Walk-in,0.86,976.21,124.43,1
2024-11-14,2024-11-16,Maharashtra,Mumbai,Suite,Walk-in,0.71,920.22,265.26,5
2024-12-27,2025-01-01,Goa,Panaji,Private,Walk-in,0.54,552.98,184.69,3
2025-03-13,2025-03-17,Maharashtra,Mumbai,Dorm,OTA,0.59,1080.34,81.72,2
2024-11-16,2024-11-18,Kerala,Munnar,Suite,Walk-in,0.8,541.85,153.56,4
2025-01-28,2025-02-01,Himachal Pradesh,Shimla,Private,OTA,0.59,823.76,267.23,1
2025-03-16,2025-03-20,Maharashtra,Nashik,Dorm,OTA,0.73,1042.36,173.68,3
2025-04-13,2025-04-14,Tamil Nadu,Ooty,Dorm,Website,0.71,863.56,,1
2025-01-26,2025-01-28,Kerala,Kochi,Suite,OTA,0.6,443.08,283.18,3
2025-04-12,2025-04-16,Karnataka,Bangalore,Suite,,1.0,953.39,238.81,4
2024-10-16,2024-10-21,Karnataka,Bangalore,Suite,OTA,0.8,308.36,223.9,1
2025-02-09,2025-02-10,Kerala,Kochi,Dorm,OTA,0.4,630.81,124.81,4
2024-12-17,2024-12-22,Karnataka,Bangalore,Suite,Website,0.73,849.29,91.03,3
2025-01-18,2025-01-19,Tamil Nadu,Chennai,Dorm,Website,0.6,977.2,197.39,4
2024-10-19,2024-10-24,Maharashtra,Mumbai,Suite,Walk-in,0.83,949.06,121.23,1
2024-11-06,2024-11-09,Goa,Vasco,Suite,Website,0.58,1005.42,248.44,2
2025-04-14,2025-04-17,Rajasthan,Udaipur,Dorm,OTA,0.68,1074.73,192.1,3
2024-12-25,2024-12-30,Maharashtra,Mumbai,Dorm,Website,0.78,535.97,59.96,1
2025-04-04,2025-04-08,Kerala,Munnar,Dorm,Walk-in,0.83,782.91,204.01,3
2025-03-26,2025-03-30,Karnataka,Mysore,Suite,Walk-in,0.52,986.9,212.46,1
2025-03-21,2025-03-25,Goa,Panaji,Dorm,OTA,0.65,851.07,63.76,2
2024-12-14,2024-12-16,Uttarakhand,Dehradun,Private,Website,0.63,974.8,268.37,1
2024-12-01,2024-12-06,Maharashtra,Pune,Suite,Website,0.6,746.53,177.7,1
2024-10-27,2024-10-28,Maharashtra,Nashik,Dorm,Walk-in,0.96,757.94,61.01,1
2024-12-01,2024-12-05,Rajasthan,Jaisalmer,Dorm,OTA,0.76,523.44,278.96,3
2025-04-04,2025-04-06,Rajasthan,Jaipur,Suite,Website,0.51,1158.67,67.23,4
2025-02-03,2025-02-06,Tamil Nadu,Chennai,Dorm,OTA,0.84,807.43,125.98,5
2024-10-31,2024-11-02,Goa,Panaji,Dorm,OTA,,321.52,185.39,1
2024-11-01,2024-11-03,Himachal Pradesh,Manali,Suite,Website,0.85,677.83,290.3,2
2025-03-07,2025-03-11,Kerala,Munnar,Suite,Website,0.47,822.69,176.36,4
2025-01-18,2025-01-21,Goa,Vasco,Private,OTA,0.63,930.65,233.84,3
2025-03-23,2025-03-24,Maharashtra,Mumbai,Dorm,OTA,0.89,719.45,151.63,5
2024-10-29,2024-10-31,Maharashtra,Mumbai,Suite,OTA,0.59,1043.75,224.22,1
2025-03-12,2025-03-17,Uttarakhand,Dehradun,Dorm,Walk-in,0.77,568.96,255.02,2
2025-01-27,2025-01-31,Goa,Panaji,Dorm,Website,0.82,409.31,65.42,2
2025-03-13,2025-03-18,Maharashtra,Nashik,Private,Website,0.56,319.62,66.12,4
2024-11-09,2024-11-13,Maharashtra,Mumbai,Dorm,Website,0.69,1131.72,158.29,4
2024-11-09,2024-11-12,Karnataka,Mysore,Private,Website,0.3,331.18,204.79,2
2025-02-21,2025-02-25,Maharashtra,Pune,Dorm,OTA,0.55,479.51,271.16,5
2025-01-16,2025-01-20,Kerala,Munnar,Suite,OTA,0.66,609.63,191.41,3
2025-01-30,2025-02-03,Himachal Pradesh,Manali,Suite,OTA,0.51,990.16,299.9,2
2024-11-17,2024-11-22,Rajasthan,Jaipur,Private,OTA,0.94,1141.69,297.89,2
2024-12-06,2024-12-09,Rajasthan,Jaisalmer,Suite,Walk-in,0.49,427.89,287.09,4
2025-01-26,2025-01-31,Goa,Panaji,Private,Website,0.63,598.56,203.53,2
2025-04-03,2025-04-05,Rajasthan,Jaipur,Suite,Walk-in,0.72,1125.5,243.59,5
2025-02-10,2025-02-13,Kerala,Kochi,Private,OTA,0.92,422.81,89.38,4
2025-01-06,2025-01-11,Uttarakhand,Rishikesh,Dorm,OTA,,576.14,222.12,2
2024-11-26,2024-12-01,Rajasthan,Jaipur,Private,Walk-in,0.87,498.81,191.39,4
2025-04-14,2025-04-17,Karnataka,Bangalore,Private,Website,0.7,538.69,112.39,1
2025-01-28,2025-01-30,Tamil Nadu,Ooty,Private,OTA,0.55,1093.59,137.81,4
2025-03-11,2025-03-15,Goa,Panaji,Dorm,Website,0.77,565.42,129.68,1
2025-03-06,2025-03-11,Maharashtra,Pune,Suite,OTA,0.73,934.05,157.83,2
2025-02-26,2025-03-03,Goa,Vasco,Suite,Walk-in,0.61,786.11,215.15,3
2024-11-24,2024-11-27,Karnataka,Bangalore,Dorm,OTA,0.71,378.87,255.97,5
2025-03-03,2025-03-04,Maharashtra,Pune,Private,OTA,0.64,723.85,273.72,3
2024-12-15,2024-12-19,Uttarakhand,Rishikesh,Dorm,OTA,0.72,695.77,115.85,3
2025-01-01,2025-01-06,Uttarakhand,Dehradun,Dorm,Walk-in,0.8,354.89,146.78,5
2025-02-23,2025-02-26,Goa,Vasco,Dorm,OTA,0.94,1112.5,228.58,5
2025-02-19,2025-02-23,Karnataka,Bangalore,Dorm,Website,0.51,1174.95,252.12,2
2024-12-27,2024-12-30,Karnataka,Mysore,Suite,Website,1.0,378.32,189.09,5
